learning_rate = 0.1
ml.tf_train(learning_rate=learning_rate, test=False, mode=mode, loops=5000)


percent test accuracy 0.768000006676, loop: 4620
percent test accuracy 0.769999980927, loop: 4630
percent test accuracy 0.768000006676, loop: 4640
percent test accuracy 0.769999980927, loop: 4650
percent test accuracy 0.768000006676, loop: 4660
percent test accuracy 0.76599997282, loop: 4670
percent test accuracy 0.768000006676, loop: 4680
percent test accuracy 0.776000022888, loop: 4690
percent test accuracy 0.772000014782, loop: 4700
percent test accuracy 0.772000014782, loop: 4710
percent test accuracy 0.76599997282, loop: 4720
percent test accuracy 0.769999980927, loop: 4730
percent test accuracy 0.772000014782, loop: 4740
percent test accuracy 0.769999980927, loop: 4750
percent test accuracy 0.776000022888, loop: 4760
percent test accuracy 0.77999997139, loop: 4770
percent test accuracy 0.77999997139, loop: 4780
percent test accuracy 0.777999997139, loop: 4790
percent test accuracy 0.777999997139, loop: 4800
percent test accuracy 0.777999997139, loop: 4810
percent test accuracy 0.77999997139, loop: 4820
percent test accuracy 0.77999997139, loop: 4830
percent test accuracy 0.777999997139, loop: 4840
percent test accuracy 0.773999989033, loop: 4850
percent test accuracy 0.777999997139, loop: 4860
percent test accuracy 0.777999997139, loop: 4870
percent test accuracy 0.776000022888, loop: 4880
percent test accuracy 0.777999997139, loop: 4890
percent test accuracy 0.782000005245, loop: 4900
percent test accuracy 0.776000022888, loop: 4910
percent test accuracy 0.773999989033, loop: 4920
percent test accuracy 0.772000014782, loop: 4930
percent test accuracy 0.782000005245, loop: 4940
percent test accuracy 0.783999979496, loop: 4950
percent test accuracy 0.776000022888, loop: 4960
percent test accuracy 0.782000005245, loop: 4970
percent test accuracy 0.782000005245, loop: 4980
percent test accuracy 0.776000022888, loop: 4990
percent test accuracy 0.777999997139, loop: 5000


percent test accuracy 0.777999997139, loop: 10
percent test accuracy 0.777999997139, loop: 20
percent test accuracy 0.783999979496, loop: 30
percent test accuracy 0.777999997139, loop: 40
percent test accuracy 0.782000005245, loop: 50
percent test accuracy 0.782000005245, loop: 60
percent test accuracy 0.777999997139, loop: 70
percent test accuracy 0.77999997139, loop: 80
percent test accuracy 0.77999997139, loop: 90
percent test accuracy 0.77999997139, loop: 100
percent test accuracy 0.77999997139, loop: 110
percent test accuracy 0.77999997139, loop: 120
percent test accuracy 0.786000013351, loop: 130
percent test accuracy 0.787999987602, loop: 140
percent test accuracy 0.787999987602, loop: 150
percent test accuracy 0.787999987602, loop: 160
percent test accuracy 0.786000013351, loop: 170
percent test accuracy 0.783999979496, loop: 180
percent test accuracy 0.786000013351, loop: 190
percent test accuracy 0.786000013351, loop: 200
percent test accuracy 0.786000013351, loop: 210
percent test accuracy 0.787999987602, loop: 220
percent test accuracy 0.790000021458, loop: 230
percent test accuracy 0.783999979496, loop: 240
percent test accuracy 0.783999979496, loop: 250
percent test accuracy 0.783999979496, loop: 260
percent test accuracy 0.786000013351, loop: 270
percent test accuracy 0.787999987602, loop: 280
percent test accuracy 0.782000005245, loop: 290
percent test accuracy 0.783999979496, loop: 300
percent test accuracy 0.773999989033, loop: 310
percent test accuracy 0.777999997139, loop: 320
percent test accuracy 0.773999989033, loop: 330
percent test accuracy 0.777999997139, loop: 340
percent test accuracy 0.77999997139, loop: 350
percent test accuracy 0.782000005245, loop: 360
percent test accuracy 0.787999987602, loop: 370
percent test accuracy 0.786000013351, loop: 380
percent test accuracy 0.786000013351, loop: 390
percent test accuracy 0.782000005245, loop: 400
percent test accuracy 0.787999987602, loop: 410
percent test accuracy 0.786000013351, loop: 420
percent test accuracy 0.783999979496, loop: 430
percent test accuracy 0.783999979496, loop: 440
percent test accuracy 0.77999997139, loop: 450
percent test accuracy 0.783999979496, loop: 460
percent test accuracy 0.783999979496, loop: 470
percent test accuracy 0.782000005245, loop: 480
percent test accuracy 0.782000005245, loop: 490
percent test accuracy 0.777999997139, loop: 500
percent test accuracy 0.782000005245, loop: 510
percent test accuracy 0.783999979496, loop: 520
percent test accuracy 0.777999997139, loop: 530
percent test accuracy 0.783999979496, loop: 540
percent test accuracy 0.782000005245, loop: 550
percent test accuracy 0.786000013351, loop: 560
percent test accuracy 0.783999979496, loop: 570
percent test accuracy 0.77999997139, loop: 580
percent test accuracy 0.783999979496, loop: 590
percent test accuracy 0.783999979496, loop: 600
percent test accuracy 0.783999979496, loop: 610
percent test accuracy 0.782000005245, loop: 620
percent test accuracy 0.783999979496, loop: 630
percent test accuracy 0.783999979496, loop: 640
percent test accuracy 0.782000005245, loop: 650
percent test accuracy 0.783999979496, loop: 660
percent test accuracy 0.783999979496, loop: 670
percent test accuracy 0.782000005245, loop: 680
percent test accuracy 0.776000022888, loop: 690
percent test accuracy 0.777999997139, loop: 700
percent test accuracy 0.777999997139, loop: 710
percent test accuracy 0.783999979496, loop: 720
percent test accuracy 0.77999997139, loop: 730
percent test accuracy 0.783999979496, loop: 740
percent test accuracy 0.783999979496, loop: 750
percent test accuracy 0.786000013351, loop: 760
percent test accuracy 0.782000005245, loop: 770
percent test accuracy 0.782000005245, loop: 780
percent test accuracy 0.783999979496, loop: 790
percent test accuracy 0.782000005245, loop: 800
percent test accuracy 0.783999979496, loop: 810
percent test accuracy 0.782000005245, loop: 820
percent test accuracy 0.782000005245, loop: 830
percent test accuracy 0.782000005245, loop: 840
percent test accuracy 0.782000005245, loop: 850
percent test accuracy 0.77999997139, loop: 860
percent test accuracy 0.77999997139, loop: 870
percent test accuracy 0.777999997139, loop: 880
percent test accuracy 0.783999979496, loop: 890
percent test accuracy 0.786000013351, loop: 900
percent test accuracy 0.782000005245, loop: 910
percent test accuracy 0.77999997139, loop: 920
percent test accuracy 0.782000005245, loop: 930
percent test accuracy 0.777999997139, loop: 940
percent test accuracy 0.777999997139, loop: 950
percent test accuracy 0.777999997139, loop: 960
percent test accuracy 0.782000005245, loop: 970
percent test accuracy 0.77999997139, loop: 980
percent test accuracy 0.77999997139, loop: 990
percent test accuracy 0.782000005245, loop: 1000
percent test accuracy 0.77999997139, loop: 1010
percent test accuracy 0.783999979496, loop: 1020
percent test accuracy 0.783999979496, loop: 1030
percent test accuracy 0.786000013351, loop: 1040
percent test accuracy 0.787999987602, loop: 1050
percent test accuracy 0.783999979496, loop: 1060
percent test accuracy 0.787999987602, loop: 1070
percent test accuracy 0.786000013351, loop: 1080
percent test accuracy 0.787999987602, loop: 1090
percent test accuracy 0.782000005245, loop: 1100
percent test accuracy 0.787999987602, loop: 1110
percent test accuracy 0.777999997139, loop: 1120
percent test accuracy 0.77999997139, loop: 1130
percent test accuracy 0.786000013351, loop: 1140
percent test accuracy 0.783999979496, loop: 1150
percent test accuracy 0.786000013351, loop: 1160
percent test accuracy 0.787999987602, loop: 1170
percent test accuracy 0.787999987602, loop: 1180
percent test accuracy 0.783999979496, loop: 1190
percent test accuracy 0.786000013351, loop: 1200
percent test accuracy 0.786000013351, loop: 1210
percent test accuracy 0.790000021458, loop: 1220
percent test accuracy 0.782000005245, loop: 1230
percent test accuracy 0.77999997139, loop: 1240
percent test accuracy 0.77999997139, loop: 1250
percent test accuracy 0.790000021458, loop: 1260
percent test accuracy 0.783999979496, loop: 1270
percent test accuracy 0.787999987602, loop: 1280
percent test accuracy 0.783999979496, loop: 1290
percent test accuracy 0.777999997139, loop: 1300
percent test accuracy 0.772000014782, loop: 1310
percent test accuracy 0.772000014782, loop: 1320
percent test accuracy 0.782000005245, loop: 1330
percent test accuracy 0.782000005245, loop: 1340
percent test accuracy 0.786000013351, loop: 1350
percent test accuracy 0.783999979496, loop: 1360
percent test accuracy 0.782000005245, loop: 1370
